diff
-0.2
16
1
-0.4
2
-0.8
-1.4
-0.6
1.5
5.2
0.7
6.4
-5.4
2
-0.4
0.5
10.8
-10.9
-3.3
-4.8
-0.6
-0.2
1.9
-0.4
-0.8
-0.2
1
1
0.3
-0.4
1.7
6.8
-9.8
2.8
1
4.9
-8.2
-2
-1.2
-0.6
0.8
1
-0.8
5
2
-2.9
1.9
4
-1.4
21
-17.8
-0.2
-0.2
2.2
9.4
-6.6
2
-0.8
3
17.9
-10.6
1.1
-0.4
3.3
-0.9
1
0.2
-0.6
7
-0.7
-6.4
-0.4
-1.4
5
1.9
-4
-5
1
-1.6
2.6
-3.6
-0.4
1
16.8
-16.6
10.3
4.2
-5.2
0.6
8
-9.9
0.3
0.5
0.5
7
-1.8
2.5
25
-4
-6.1
-0.4
3.8
-2.5
1
-0.6
1
2
8.3
-5
-0.2
-0.4
6
-2.6
-0.2
2
-1.9
-0.2
9.7
-5.7
-2.4
-0.4
2.5
3.5
-3.8
1
-0.6
-0.4
5
-4.5
3.4
-1.8
-2
-0.2
2
-0.2
2
2.5
-0.9
2.3
3.3
22.9
-10.4
1.5
13.4
15.6
-16.4
-2
-1.6
-0.4
-2.8
3
5.5
-2.2
-0.2
5
-11.6
7.6
-6.5
8
-4.4
0.4
-2
16
-11.4
2.6
-2.8
-0.2
-0.2
2
1.9
-3.8
5.5
-3.2
3.9
-0.6
-3.4
10.5
-4.5
-24.8
-0.6
3
-1.8
1.5
-0.6
-0.2
-1.4
2
-0.6
5
-1.9
34.8
-11.2
11
3.3
-1
-3.2
-1
-1
6
3.5
-2.2
-1.4
2.5
-2.4
-1.4
3.9
-1.4
48
-62.8
-0.8
7
-3.2
0.1
20
3.2
18.2
-10.8
10
4
-11
-0.2
-0.2
-16.8
-1.4
-0.4
30
-21.4
-0.2
-0.2
11
-14.4
12
-0.4
1
-1.2
-1.2
-1.8
-0.2
0.5
-0.4
-0.2
-0.6
8
-10.2
2
2.3
-1.8
2
-0.6
-2.6
-1.2
2.8
-0.2
-6.8
-0.2
-1.2
-0.2
-5.4
8
-1.9
-0.4
-0.4
-1
10
-3.1
-3.2
-0.7
4
-3.6
3.8
1
-1.4
-1
6
1
0.5
-0.6
2
-4.2
3
-2.8
9
-6.8
-1.2
-0.2
-0.2
-0.4
-0.6
-0.4
-1.2
0.2
1.2
-1.4
0.4
18.6
-8.2
-1.8
-6.8
-1
-4
-3.8
-1.2
-3.8
-2.2
-0.6
-1
2
-2.6
-1
-0.2
1.4
-0.4
-0.6
-0.2
0.2
-1.6
-0.6
-2.8
-0.2
0.1
0.2
2
1.6
-1.6
0.2
-2.4
3
-3.8
6
-5.2
-1
-0.6
10
-13.1
8
-0.4
-0.4
3.2
-2.2
4
-4.8
1.6
-1.4
-0.4
0.5
2.4
-5.2
-0.2
0.1
0.7
-0.4
-3
3.4
0.9
-1
10
-5.3
-23.6
2.5
-1.8
-0.2
-0.2
0.3
3.3
-2.8
-0.4
1
-1.4
-0.6
1.5
0.4
-2.2
32
-37.2
-1.2
-1.6
-0.4
0.5
3.5
-0.2
-1.8
-4.4
2
-0.2
-0.2
16
0.4
-6.6
-8.2
-4.6
-0.2
-2
-1.4
-3
-0.6
-0.2
2
5
-7.8
5.4
-3.8
-1
-0.2
-0.6
1.5
-5
-1.2
-0.4
-0.2
2
-3.2
-0.4
-0.2
7
-6.8
-6
1
-0.8
-0.6
2.9
-5.6
-2.4
-0.4
-3.8
-0.1
0.9
-2.8
-0.2
-0.2
2
-6.4
-1.6
13
-9.2
-3.8
1
-0.4
-2
-0.6
14
-16.2
-0.4
3.5
-1.8
-0.2
-0.2
2
8.3
-7.6
-1.4
10
-17.2
-0.8
-0.6
5
-6
-0.2
-0.4
34
-36.8
-0.4
-0.4
1
-4.8
-0.2
-0.6
12.8
-11.2
12.5
16
-10.8
-0.6
0.1
-1.4
-0.4
-2.2
-0.6
-2
2
-1.2
1
-1.2
